Frame Count;Start Time;End Time
1410;2024-01-15 22:43:11.999;
1411;2024-01-15 22:43:12.013;
1412;2024-01-15 22:43:12.024;
1413;2024-01-15 22:43:12.038;
1414;2024-01-15 22:43:12.051;
1415;2024-01-15 22:43:12.063;2024-01-15 22:43:12.123
1416;2024-01-15 22:43:12.075;
1417;2024-01-15 22:43:12.088;
1418;2024-01-15 22:43:12.102;
1419;2024-01-15 22:43:12.116;
1420;2024-01-15 22:43:12.128;
1421;2024-01-15 22:43:12.145;
1422;2024-01-15 22:43:12.155;
1423;2024-01-15 22:43:12.168;
1424;2024-01-15 22:43:12.180;
1425;2024-01-15 22:43:12.196;
1426;2024-01-15 22:43:12.208;
1427;2024-01-15 22:43:12.220;
1428;2024-01-15 22:43:12.236;
1429;2024-01-15 22:43:12.248;
1430;2024-01-15 22:43:12.262;
1431;2024-01-15 22:43:12.277;
1432;2024-01-15 22:43:12.289;
1433;2024-01-15 22:43:12.304;
1434;2024-01-15 22:43:12.318;
1435;2024-01-15 22:43:12.331;
1436;2024-01-15 22:43:12.345;
1437;2024-01-15 22:43:12.358;
1438;2024-01-15 22:43:12.372;
1439;2024-01-15 22:43:12.386;
1440;2024-01-15 22:43:12.398;
1441;2024-01-15 22:43:12.412;
1442;2024-01-15 22:43:12.422;
1443;2024-01-15 22:43:12.441;
1444;2024-01-15 22:43:12.453;
1445;2024-01-15 22:43:12.469;
1446;2024-01-15 22:43:12.484;
1447;2024-01-15 22:43:12.496;2024-01-15 22:43:12.578
1448;2024-01-15 22:43:12.508;
1449;2024-01-15 22:43:12.521;
1450;2024-01-15 22:43:12.535;
1451;2024-01-15 22:43:12.548;
1452;2024-01-15 22:43:12.560;
1453;2024-01-15 22:43:12.572;
1454;2024-01-15 22:43:12.586;
1455;2024-01-15 22:43:12.599;
1456;2024-01-15 22:43:12.613;
1457;2024-01-15 22:43:12.625;
1458;2024-01-15 22:43:12.638;
1459;2024-01-15 22:43:12.651;
1460;2024-01-15 22:43:12.662;
1461;2024-01-15 22:43:12.674;
1462;2024-01-15 22:43:12.685;
1463;2024-01-15 22:43:12.700;
1464;2024-01-15 22:43:12.714;
1465;2024-01-15 22:43:12.725;
1466;2024-01-15 22:43:12.742;
1467;2024-01-15 22:43:12.754;
1468;2024-01-15 22:43:12.768;
1469;2024-01-15 22:43:12.781;
1470;2024-01-15 22:43:12.796;
1471;2024-01-15 22:43:12.810;
1472;2024-01-15 22:43:12.822;
1473;2024-01-15 22:43:12.835;
1474;2024-01-15 22:43:12.847;
1475;2024-01-15 22:43:12.860;2024-01-15 22:43:12.939
1476;2024-01-15 22:43:12.873;
1477;2024-01-15 22:43:12.886;
1478;2024-01-15 22:43:12.898;
1479;2024-01-15 22:43:12.911;
1480;2024-01-15 22:43:12.922;
1481;2024-01-15 22:43:12.937;
1482;2024-01-15 22:43:12.949;
1483;2024-01-15 22:43:12.962;
1484;2024-01-15 22:43:12.977;
1485;2024-01-15 22:43:12.988;
1486;2024-01-15 22:43:13.003;
1487;2024-01-15 22:43:13.017;
1488;2024-01-15 22:43:13.030;
1489;2024-01-15 22:43:13.045;
1490;2024-01-15 22:43:13.056;
1491;2024-01-15 22:43:13.068;
1492;2024-01-15 22:43:13.081;
1493;2024-01-15 22:43:13.094;
1494;2024-01-15 22:43:13.107;
1495;2024-01-15 22:43:13.120;
1496;2024-01-15 22:43:13.135;2024-01-15 22:43:13.206
1497;2024-01-15 22:43:13.147;
1498;2024-01-15 22:43:13.160;
1499;2024-01-15 22:43:13.173;
1500;2024-01-15 22:43:13.185;
1501;2024-01-15 22:43:13.200;
1502;2024-01-15 22:43:13.214;
1503;2024-01-15 22:43:13.225;
1504;2024-01-15 22:43:13.246;
1505;2024-01-15 22:43:13.261;
1506;2024-01-15 22:43:13.274;
1507;2024-01-15 22:43:13.285;
1508;2024-01-15 22:43:13.299;
1509;2024-01-15 22:43:13.314;
1510;2024-01-15 22:43:13.327;
1511;2024-01-15 22:43:13.339;
1512;2024-01-15 22:43:13.352;
1513;2024-01-15 22:43:13.364;
1514;2024-01-15 22:43:13.378;
1515;2024-01-15 22:43:13.390;
1516;2024-01-15 22:43:13.404;
1517;2024-01-15 22:43:13.417;
1518;2024-01-15 22:43:13.431;
1519;2024-01-15 22:43:13.443;
1520;2024-01-15 22:43:13.454;
1521;2024-01-15 22:43:13.468;
1522;2024-01-15 22:43:13.482;
1523;2024-01-15 22:43:13.497;
1524;2024-01-15 22:43:13.512;
1525;2024-01-15 22:43:13.522;
1526;2024-01-15 22:43:13.535;
1527;2024-01-15 22:43:13.548;
1528;2024-01-15 22:43:13.561;
1529;2024-01-15 22:43:13.572;
1530;2024-01-15 22:43:13.586;
1531;2024-01-15 22:43:13.596;
1532;2024-01-15 22:43:13.611;
1533;2024-01-15 22:43:13.624;
1534;2024-01-15 22:43:13.639;
1535;2024-01-15 22:43:13.651;
1536;2024-01-15 22:43:13.665;2024-01-15 22:43:13.739
1537;2024-01-15 22:43:13.679;
1538;2024-01-15 22:43:13.689;
1539;2024-01-15 22:43:13.704;
1540;2024-01-15 22:43:13.717;
1541;2024-01-15 22:43:13.731;
1542;2024-01-15 22:43:13.745;
1543;2024-01-15 22:43:13.756;
1544;2024-01-15 22:43:13.770;
1545;2024-01-15 22:43:13.783;
1546;2024-01-15 22:43:13.797;
1547;2024-01-15 22:43:13.811;
1548;2024-01-15 22:43:13.822;
1549;2024-01-15 22:43:13.836;
1550;2024-01-15 22:43:13.849;
1551;2024-01-15 22:43:13.861;
1552;2024-01-15 22:43:13.873;
1553;2024-01-15 22:43:13.885;
1554;2024-01-15 22:43:13.899;
1555;2024-01-15 22:43:13.912;
1556;2024-01-15 22:43:13.922;
1557;2024-01-15 22:43:13.936;
1558;2024-01-15 22:43:13.948;
1559;2024-01-15 22:43:13.963;
1560;2024-01-15 22:43:13.976;
1561;2024-01-15 22:43:13.986;
1562;2024-01-15 22:43:14.002;
1563;2024-01-15 22:43:14.015;
1564;2024-01-15 22:43:14.027;2024-01-15 22:43:14.122
1565;2024-01-15 22:43:14.040;
